,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
15438,34,admin,divorced,secondary,no,-251,no,no,cellular,18,jul,641,1,yes
15443,28,admin,single,unknown,no,24,yes,no,cellular,18,jul,415,2,yes
15451,43,entrepreneur,married,secondary,no,104,yes,no,cellular,18,jul,635,3,yes
15464,33,technician,single,tertiary,no,1393,yes,no,cellular,18,jul,1127,3,yes
15479,36,management,married,tertiary,no,625,yes,no,cellular,18,jul,1360,9,yes
15510,28,blue-collar,married,secondary,no,173,no,no,cellular,18,jul,588,7,yes
15512,32,admin,divorced,secondary,no,-46,no,yes,cellular,18,jul,1373,4,yes
15522,31,blue-collar,divorced,secondary,no,0,yes,yes,cellular,18,jul,913,4,yes
15526,35,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,jul,799,2,yes
15529,31,management,married,tertiary,no,325,yes,no,cellular,18,jul,1139,2,yes
15578,32,management,single,tertiary,no,2551,yes,no,cellular,21,jul,638,3,yes
15597,25,services,single,secondary,no,2311,no,yes,cellular,21,jul,1105,2,yes
15659,56,retired,divorced,tertiary,no,158,no,yes,cellular,21,jul,854,1,yes
15686,31,blue-collar,married,primary,no,-537,yes,yes,cellular,21,jul,1039,7,yes
15690,29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574,1,yes
15692,47,technician,married,secondary,no,1981,yes,no,cellular,21,jul,919,2,yes
15703,32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,yes
15713,39,management,married,tertiary,no,1423,yes,no,telephone,21,jul,733,3,yes
15719,51,management,married,tertiary,no,2455,yes,no,cellular,21,jul,553,1,yes
15720,40,blue-collar,married,primary,no,0,yes,no,cellular,21,jul,1080,4,yes
15722,54,technician,divorced,secondary,no,859,no,yes,cellular,21,jul,710,1,yes
15736,58,retired,married,unknown,no,9004,no,no,cellular,21,jul,891,4,yes
15748,42,unemployed,married,unknown,no,970,yes,no,telephone,21,jul,691,10,yes
15755,56,services,married,primary,no,486,no,yes,telephone,21,jul,1877,1,yes
15794,25,student,married,tertiary,no,10,yes,no,cellular,21,jul,857,4,yes
15817,55,housemaid,married,secondary,no,127,yes,no,telephone,21,jul,1130,8,yes
15818,26,blue-collar,single,primary,no,409,yes,no,cellular,21,jul,577,2,yes
15823,40,admin,single,secondary,no,664,no,no,cellular,21,jul,1342,2,yes
15838,26,technician,single,secondary,no,223,no,yes,cellular,21,jul,1002,3,yes
15847,35,management,single,tertiary,no,-324,no,yes,cellular,21,jul,985,11,yes
15858,34,services,single,secondary,no,-30,no,no,cellular,21,jul,1360,3,yes
15860,41,management,single,tertiary,no,1253,no,no,cellular,21,jul,1134,5,yes
15906,44,management,married,primary,no,4758,yes,no,cellular,22,jul,712,6,yes
15932,47,admin,married,secondary,no,290,yes,no,cellular,22,jul,1352,2,yes
15947,33,management,single,tertiary,no,30,yes,no,cellular,22,jul,1077,1,yes
15966,36,management,divorced,tertiary,no,81,no,yes,cellular,22,jul,560,1,yes
15980,38,technician,married,secondary,no,0,yes,no,cellular,22,jul,1545,1,yes
16023,35,technician,married,tertiary,no,328,yes,no,cellular,22,jul,654,2,yes
16042,41,technician,single,tertiary,no,145,no,no,cellular,22,jul,1833,2,yes
16067,41,management,divorced,unknown,no,465,yes,no,cellular,22,jul,1508,1,yes
16121,28,blue-collar,married,secondary,no,751,yes,no,cellular,22,jul,598,5,yes
16140,35,admin,single,secondary,no,507,yes,no,cellular,22,jul,560,2,yes
16145,26,services,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,yes
16184,39,blue-collar,single,secondary,no,0,no,no,cellular,22,jul,864,4,yes
16187,25,admin,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,yes
16199,37,admin,married,secondary,no,1110,yes,no,telephone,22,jul,802,11,yes
16210,27,services,married,secondary,no,0,yes,no,cellular,22,jul,1608,13,yes
16230,25,management,married,secondary,no,2228,yes,no,cellular,23,jul,754,1,yes
16247,46,management,divorced,tertiary,no,2166,yes,no,cellular,23,jul,870,1,yes
16274,42,management,divorced,secondary,no,283,yes,no,cellular,23,jul,761,1,yes
16291,25,blue-collar,single,secondary,no,-247,yes,no,cellular,23,jul,633,1,yes
16356,28,technician,single,tertiary,no,-123,no,yes,cellular,23,jul,690,1,yes
16367,33,services,divorced,secondary,no,44,no,yes,cellular,23,jul,529,1,yes
16390,32,management,single,secondary,no,131,yes,yes,cellular,23,jul,1152,2,yes
16420,32,blue-collar,married,secondary,no,476,yes,no,cellular,23,jul,956,9,yes
16426,47,technician,single,secondary,no,1101,yes,no,cellular,23,jul,957,3,yes
16446,50,entrepreneur,married,tertiary,no,-168,yes,no,cellular,23,jul,1327,2,yes
16454,32,blue-collar,single,secondary,no,799,no,yes,cellular,23,jul,2078,6,yes
16470,28,student,single,secondary,no,153,no,no,cellular,23,jul,1124,2,yes
16471,27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,yes
16473,45,admin,married,secondary,no,524,yes,no,cellular,23,jul,808,1,yes
16482,51,admin,single,secondary,no,895,no,no,cellular,23,jul,638,2,yes
16497,36,admin,married,secondary,no,212,yes,yes,cellular,23,jul,1201,6,yes
16499,51,self-employed,married,secondary,no,95,yes,no,cellular,23,jul,1309,4,yes
16515,33,services,single,tertiary,no,395,yes,no,cellular,23,jul,1359,6,yes
16517,59,technician,married,secondary,no,135,yes,yes,cellular,23,jul,416,4,yes
16523,38,entrepreneur,married,tertiary,no,0,no,no,cellular,23,jul,532,2,yes
16545,40,services,married,secondary,no,471,yes,no,cellular,24,jul,430,4,yes
16595,51,blue-collar,married,primary,no,603,yes,no,cellular,24,jul,853,2,yes
16598,41,entrepreneur,single,secondary,no,663,no,no,cellular,24,jul,1204,1,yes
16636,55,retired,divorced,secondary,no,-268,no,yes,cellular,24,jul,1417,1,yes
16637,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,yes
16640,31,management,married,tertiary,no,1224,yes,yes,cellular,24,jul,1441,2,yes
16641,28,admin,single,secondary,no,2,yes,no,cellular,24,jul,454,1,yes
16673,41,blue-collar,married,secondary,yes,720,no,yes,cellular,24,jul,651,1,yes
16692,33,management,divorced,tertiary,no,990,yes,no,cellular,24,jul,1491,2,yes
16724,25,student,single,secondary,no,1747,yes,no,cellular,24,jul,903,1,yes
16728,45,admin,divorced,secondary,no,59,yes,no,cellular,24,jul,873,8,yes
16733,25,technician,single,secondary,no,4718,no,no,cellular,24,jul,709,1,yes
16762,31,blue-collar,married,primary,no,33,yes,no,cellular,24,jul,901,2,yes
16811,28,services,single,secondary,no,340,yes,no,cellular,24,jul,821,2,yes
16813,49,technician,divorced,secondary,no,305,no,no,cellular,24,jul,367,2,yes
16841,25,services,married,secondary,no,0,yes,no,cellular,24,jul,458,9,yes
16842,28,unemployed,single,tertiary,no,497,yes,no,cellular,24,jul,1602,6,yes
16855,54,retired,married,secondary,no,1371,no,no,telephone,25,jul,1492,2,yes
16864,28,technician,single,tertiary,no,1628,yes,no,cellular,25,jul,1422,2,yes
16871,27,technician,single,tertiary,no,372,yes,yes,cellular,25,jul,728,2,yes
16881,49,blue-collar,single,primary,no,566,yes,no,cellular,25,jul,979,2,yes
16885,53,blue-collar,married,primary,no,343,yes,no,cellular,25,jul,616,5,yes
16897,26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,yes
16900,37,services,married,secondary,no,775,no,yes,cellular,25,jul,1000,1,yes
16901,34,blue-collar,single,secondary,no,1759,no,yes,cellular,25,jul,695,1,yes
16905,33,admin,married,secondary,no,82,yes,no,cellular,25,jul,735,1,yes
16920,35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,yes
16960,51,retired,married,primary,no,1495,no,no,telephone,25,jul,1946,4,yes
16996,39,housemaid,married,secondary,no,1444,no,no,telephone,25,jul,362,8,yes
17028,35,technician,single,tertiary,no,470,yes,no,cellular,25,jul,743,13,yes
17031,51,unemployed,married,primary,no,1162,yes,no,cellular,25,jul,2015,1,yes
17060,30,management,single,tertiary,no,2,yes,yes,cellular,25,jul,1031,8,yes
17083,42,blue-collar,single,primary,no,1628,yes,no,cellular,25,jul,590,8,yes
17087,54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,yes
17094,51,blue-collar,married,primary,no,0,yes,yes,cellular,25,jul,946,3,yes
17104,57,retired,divorced,primary,no,63,no,yes,cellular,25,jul,1448,17,yes
17110,30,management,married,tertiary,no,1221,yes,no,telephone,25,jul,279,4,yes
17115,37,blue-collar,single,secondary,no,5024,no,yes,cellular,25,jul,661,4,yes
17130,39,technician,married,secondary,no,10685,yes,no,cellular,25,jul,1369,9,yes
17131,35,technician,married,tertiary,no,1629,no,no,cellular,25,jul,653,4,yes
17182,48,management,married,secondary,no,268,yes,no,cellular,28,jul,458,7,yes
17187,45,admin,divorced,tertiary,no,1506,no,no,cellular,28,jul,365,4,yes
17193,31,management,married,tertiary,no,0,yes,yes,cellular,28,jul,664,8,yes
17202,35,self-employed,married,secondary,no,5613,yes,no,cellular,28,jul,699,3,yes
17219,48,housemaid,married,secondary,no,513,no,yes,cellular,28,jul,939,3,yes
17228,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,yes
17245,43,blue-collar,single,primary,no,-399,no,yes,cellular,28,jul,662,3,yes
17260,49,services,divorced,secondary,no,0,no,no,cellular,28,jul,412,2,yes
17279,53,housemaid,married,primary,no,362,no,no,cellular,28,jul,1169,2,yes
17280,48,entrepreneur,married,secondary,no,0,no,yes,cellular,28,jul,431,2,yes
17286,27,technician,single,secondary,no,3933,no,no,cellular,28,jul,837,3,yes
17292,55,technician,married,secondary,no,3899,yes,no,telephone,28,jul,596,4,yes
17344,40,services,married,secondary,no,473,yes,no,cellular,28,jul,383,3,yes
17362,40,self-employed,single,tertiary,no,1616,no,no,telephone,28,jul,1009,7,yes
17368,38,blue-collar,divorced,secondary,no,1817,yes,no,cellular,28,jul,1096,4,yes
17380,54,retired,single,secondary,no,129,no,yes,cellular,28,jul,867,2,yes
17399,54,technician,married,secondary,no,1938,no,yes,cellular,28,jul,551,3,yes
17455,50,admin,single,secondary,no,133,no,no,cellular,28,jul,890,4,yes
17473,27,admin,single,secondary,no,192,no,no,telephone,28,jul,1076,17,yes
17546,48,management,divorced,tertiary,no,2263,no,no,cellular,29,jul,874,2,yes
17579,41,services,married,unknown,no,1538,no,no,cellular,29,jul,710,2,yes
17588,51,blue-collar,divorced,primary,no,5,no,no,cellular,29,jul,600,2,yes
17642,42,technician,single,tertiary,no,2625,no,no,cellular,29,jul,2516,2,yes
17697,33,blue-collar,married,secondary,no,0,no,no,cellular,29,jul,454,6,yes
17709,58,retired,divorced,secondary,no,1080,yes,no,cellular,29,jul,1058,2,yes
17729,47,unemployed,married,secondary,no,312,no,no,cellular,29,jul,884,1,yes
17762,58,admin,married,secondary,no,145,yes,no,telephone,29,jul,616,13,yes
17764,60,self-employed,married,primary,no,362,no,yes,cellular,29,jul,816,6,yes
17780,41,blue-collar,married,secondary,no,-190,no,yes,cellular,29,jul,808,3,yes
17794,46,admin,married,secondary,no,659,yes,no,telephone,29,jul,1127,11,yes
17870,50,admin,married,secondary,no,2678,no,no,telephone,30,jul,1011,6,yes
17873,46,housemaid,married,secondary,no,271,yes,no,cellular,30,jul,1013,29,yes
17878,47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,yes
17897,44,blue-collar,married,secondary,no,0,no,no,cellular,30,jul,684,2,yes
17899,46,self-employed,divorced,tertiary,no,21,no,no,cellular,30,jul,566,2,yes
17903,36,services,married,secondary,no,0,no,no,cellular,30,jul,843,2,yes
17912,39,blue-collar,married,unknown,no,1181,yes,no,cellular,30,jul,650,2,yes
17926,58,management,divorced,secondary,no,3161,no,no,telephone,30,jul,542,2,yes
18001,44,unemployed,single,primary,yes,-4,no,yes,cellular,30,jul,788,2,yes
18005,49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,988,2,yes
18015,55,management,married,tertiary,no,-375,no,no,cellular,30,jul,814,2,yes
18020,52,unemployed,married,primary,no,959,no,no,telephone,30,jul,694,2,yes
18023,37,services,married,secondary,no,4151,yes,yes,cellular,30,jul,543,4,yes
18026,60,retired,divorced,secondary,no,1091,no,no,cellular,30,jul,441,5,yes
18042,41,services,married,unknown,yes,-1,no,yes,cellular,30,jul,1171,4,yes
18047,36,management,married,tertiary,no,96,no,no,cellular,30,jul,729,4,yes
18050,41,blue-collar,divorced,primary,no,0,no,no,cellular,30,jul,509,2,yes
18068,50,entrepreneur,married,tertiary,no,230,no,no,telephone,30,jul,1089,4,yes
18072,44,housemaid,married,primary,no,-156,no,yes,cellular,30,jul,1211,2,yes
18081,54,technician,married,secondary,no,114,no,no,cellular,30,jul,458,3,yes
18126,35,management,married,tertiary,no,-468,yes,no,cellular,30,jul,540,8,yes
18161,59,retired,divorced,secondary,no,679,no,no,cellular,30,jul,761,4,yes
18165,42,entrepreneur,married,unknown,no,206,yes,no,cellular,30,jul,695,2,yes
18171,27,management,single,tertiary,no,1,yes,no,cellular,30,jul,764,4,yes
18189,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,yes
18195,36,housemaid,married,primary,no,78,yes,no,telephone,30,jul,2692,9,yes
18198,59,housemaid,divorced,primary,no,2518,no,no,cellular,30,jul,675,3,yes
18216,43,admin,married,secondary,no,378,no,no,cellular,30,jul,782,8,yes
18238,39,technician,single,secondary,no,391,no,yes,cellular,30,jul,962,4,yes
18243,33,unemployed,married,secondary,no,-144,no,no,cellular,30,jul,481,3,yes
18296,36,self-employed,single,tertiary,no,1240,no,no,cellular,31,jul,812,3,yes
18310,35,blue-collar,divorced,primary,no,1792,yes,no,cellular,31,jul,630,6,yes
18319,50,blue-collar,married,unknown,no,2284,yes,no,telephone,31,jul,1088,17,yes
18320,55,technician,married,secondary,no,264,yes,yes,cellular,31,jul,1150,5,yes
18382,51,unemployed,divorced,tertiary,no,0,no,no,cellular,31,jul,574,2,yes
18410,48,entrepreneur,married,tertiary,yes,-392,no,no,cellular,31,jul,725,4,yes
18437,55,housemaid,divorced,primary,no,77,no,no,cellular,31,jul,463,6,yes
18447,30,services,married,secondary,no,48,yes,no,cellular,31,jul,662,13,yes
18448,53,blue-collar,married,primary,no,252,no,no,cellular,31,jul,727,4,yes
18490,40,blue-collar,married,secondary,no,1954,no,no,cellular,31,jul,1107,2,yes
18516,44,technician,married,primary,no,755,no,yes,cellular,31,jul,829,4,yes
18518,51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,jul,612,4,yes
18531,58,management,married,secondary,no,-382,no,no,cellular,31,jul,644,12,yes
18540,40,housemaid,single,tertiary,no,7441,no,no,cellular,31,jul,1461,6,yes
18556,35,management,married,tertiary,no,1731,no,no,cellular,31,jul,361,4,yes
18625,49,management,divorced,tertiary,no,755,no,no,cellular,31,jul,1212,4,yes
18694,40,blue-collar,married,primary,no,57,yes,no,cellular,31,jul,1007,9,yes
18736,48,admin,married,primary,no,3644,yes,yes,telephone,31,jul,1039,9,yes
18771,40,admin,married,secondary,no,341,no,no,cellular,31,jul,1142,5,yes
18780,58,unemployed,married,primary,no,1183,no,no,cellular,31,jul,1721,5,yes
18811,49,services,married,secondary,no,388,no,no,telephone,31,jul,1032,4,yes
18848,38,technician,married,secondary,no,1919,no,no,cellular,4,aug,846,1,yes
18884,51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,yes
18894,36,management,divorced,tertiary,no,0,no,no,cellular,4,aug,1165,1,yes
18919,55,retired,married,secondary,no,0,no,no,cellular,4,aug,1110,1,yes
18956,52,management,married,tertiary,no,7192,no,no,cellular,4,aug,1486,1,yes
18993,43,technician,married,tertiary,no,0,no,no,cellular,4,aug,1488,2,yes
18999,60,management,divorced,secondary,no,0,no,no,cellular,5,aug,603,3,yes
19004,57,retired,married,secondary,no,466,no,no,cellular,5,aug,641,2,yes
19006,41,technician,married,tertiary,no,515,no,no,cellular,5,aug,837,2,yes
19010,50,technician,married,tertiary,no,2313,no,no,cellular,5,aug,553,1,yes
19018,53,blue-collar,married,secondary,no,-8,no,no,cellular,5,aug,794,1,yes
19022,59,retired,married,primary,no,1634,yes,yes,cellular,5,aug,836,1,yes
19037,59,housemaid,married,primary,no,100,no,no,cellular,5,aug,1134,1,yes
19044,33,management,married,tertiary,no,679,no,no,cellular,5,aug,1109,2,yes
19045,52,unknown,married,unknown,no,5361,no,no,cellular,5,aug,607,3,yes
19060,58,management,divorced,tertiary,no,1257,no,no,cellular,5,aug,1536,1,yes
19062,58,unknown,married,unknown,no,1547,no,no,telephone,5,aug,1186,4,yes
19066,59,retired,married,primary,no,3400,yes,no,cellular,5,aug,515,3,yes
19094,51,admin,married,secondary,no,949,no,no,cellular,5,aug,1092,1,yes
19099,50,admin,married,secondary,no,4855,no,no,cellular,5,aug,720,2,yes
19112,49,technician,single,secondary,no,1377,no,no,cellular,5,aug,935,1,yes
19114,33,management,divorced,tertiary,no,2885,no,no,cellular,5,aug,1051,2,yes
19117,55,blue-collar,married,primary,no,512,no,no,cellular,5,aug,1200,2,yes
19119,42,technician,married,tertiary,no,921,no,no,cellular,5,aug,531,3,yes
19128,52,services,married,secondary,no,1000,no,no,cellular,5,aug,766,2,yes
19134,38,technician,married,tertiary,no,202,no,no,cellular,5,aug,1311,2,yes
19155,55,technician,married,tertiary,no,169,no,yes,cellular,5,aug,618,2,yes
19157,49,technician,married,tertiary,no,3726,no,no,cellular,5,aug,875,2,yes
19169,56,technician,divorced,secondary,no,146,yes,no,cellular,5,aug,419,3,yes
19178,46,technician,married,secondary,no,940,no,no,cellular,5,aug,1227,2,yes
19201,57,retired,divorced,tertiary,no,734,no,no,cellular,6,aug,1357,4,yes
19205,61,retired,married,secondary,no,77,no,no,cellular,6,aug,455,4,yes
19212,45,admin,married,secondary,no,925,no,no,cellular,6,aug,406,2,yes
19219,39,management,married,tertiary,no,1836,no,no,cellular,6,aug,902,3,yes
19221,46,admin,married,secondary,no,660,no,no,cellular,6,aug,740,2,yes
19231,34,management,single,tertiary,no,681,no,no,cellular,6,aug,637,2,yes
19241,43,management,single,tertiary,no,1304,no,no,cellular,6,aug,501,2,yes
19243,34,services,married,secondary,no,2956,no,no,cellular,6,aug,835,2,yes
19249,35,management,divorced,tertiary,no,146,no,no,cellular,6,aug,720,2,yes
19251,36,management,divorced,tertiary,yes,36,no,no,cellular,6,aug,836,4,yes
19262,45,management,divorced,tertiary,no,1,no,no,cellular,6,aug,490,2,yes
19277,47,technician,married,secondary,no,2480,no,no,cellular,6,aug,763,2,yes
19282,42,technician,married,tertiary,no,14282,yes,no,cellular,6,aug,649,4,yes
19285,34,blue-collar,married,secondary,no,182,no,no,cellular,6,aug,938,2,yes
19291,40,management,single,tertiary,no,0,no,no,cellular,6,aug,641,6,yes
19300,40,technician,divorced,secondary,no,311,no,no,cellular,6,aug,738,2,yes
19327,32,technician,married,secondary,no,560,no,no,cellular,6,aug,1044,4,yes
19336,33,technician,single,secondary,no,3059,no,yes,cellular,6,aug,482,2,yes
19369,32,self-employed,married,tertiary,no,1423,no,no,cellular,6,aug,1249,4,yes
19377,46,blue-collar,married,primary,no,874,no,no,cellular,6,aug,996,1,yes
19443,50,admin,married,secondary,no,706,yes,no,cellular,6,aug,1250,4,yes
19444,51,blue-collar,married,primary,no,7098,no,no,cellular,6,aug,1471,7,yes
19445,30,management,single,tertiary,no,5389,no,no,cellular,6,aug,1456,3,yes
19479,34,technician,divorced,tertiary,no,674,yes,no,cellular,7,aug,587,2,yes
19487,39,technician,single,secondary,no,1104,no,no,cellular,7,aug,395,2,yes
19489,47,admin,married,secondary,no,3070,no,no,cellular,7,aug,663,4,yes
19524,40,technician,divorced,secondary,no,0,no,no,cellular,7,aug,674,2,yes
19536,50,blue-collar,married,primary,no,4108,yes,no,cellular,7,aug,526,2,yes
19537,60,management,married,tertiary,no,0,no,no,cellular,7,aug,401,3,yes
19613,32,management,single,tertiary,no,4291,no,no,cellular,7,aug,1321,9,yes
19614,57,technician,married,tertiary,no,6822,no,no,cellular,7,aug,797,2,yes
19651,41,self-employed,married,tertiary,no,231,no,no,cellular,7,aug,352,2,yes
19666,50,technician,married,secondary,no,3176,no,no,cellular,7,aug,670,1,yes
19669,46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,3,yes
19672,31,management,married,tertiary,no,676,no,no,cellular,7,aug,1182,1,yes
19683,36,technician,single,secondary,no,651,no,no,cellular,7,aug,876,1,yes
19690,45,technician,divorced,secondary,no,2657,no,no,cellular,7,aug,895,3,yes
19730,33,technician,divorced,secondary,no,801,no,no,cellular,7,aug,341,5,yes
19757,41,technician,married,tertiary,no,1517,no,no,cellular,8,aug,193,3,yes
19764,37,technician,single,secondary,no,980,no,no,cellular,8,aug,1306,5,yes
19766,60,management,married,tertiary,no,73,no,no,telephone,8,aug,243,2,yes
19823,47,services,married,secondary,no,405,no,yes,cellular,8,aug,994,2,yes
19833,35,management,married,tertiary,no,82,no,no,cellular,8,aug,507,4,yes
19839,47,blue-collar,married,secondary,no,8229,no,no,cellular,8,aug,784,2,yes
19873,38,management,married,tertiary,no,179,no,no,unknown,8,aug,317,4,yes
19886,33,management,married,tertiary,no,1047,no,no,cellular,8,aug,512,4,yes
19888,44,technician,single,secondary,no,7138,no,no,cellular,8,aug,809,2,yes
19894,31,management,single,tertiary,no,165,no,yes,cellular,8,aug,523,2,yes
19922,31,management,single,tertiary,no,37,no,no,cellular,8,aug,669,2,yes
19924,32,technician,single,secondary,no,40,no,no,cellular,8,aug,419,2,yes
19969,49,services,married,secondary,no,823,no,no,cellular,8,aug,780,4,yes
19972,52,services,married,primary,no,1625,no,no,cellular,8,aug,459,2,yes
19994,31,technician,married,tertiary,no,120,no,no,cellular,8,aug,1000,1,yes
20009,35,management,married,tertiary,no,2957,yes,yes,cellular,8,aug,733,3,yes
20012,32,technician,single,secondary,no,483,no,no,cellular,8,aug,580,3,yes
20017,31,management,single,tertiary,no,2,no,no,cellular,8,aug,848,1,yes
20023,36,technician,divorced,secondary,no,1,no,no,cellular,8,aug,1242,3,yes
20041,39,management,married,tertiary,no,1795,no,no,cellular,8,aug,922,7,yes
20042,46,management,married,tertiary,no,4,no,no,cellular,8,aug,1206,4,yes
20082,46,management,divorced,tertiary,no,1297,no,no,cellular,11,aug,716,3,yes
20122,48,blue-collar,married,primary,no,476,no,no,cellular,11,aug,856,3,yes
20131,36,management,married,tertiary,no,9,no,no,cellular,11,aug,386,4,yes
20175,30,management,married,tertiary,no,131,yes,no,cellular,11,aug,384,6,yes
20203,30,management,single,tertiary,no,4889,no,no,cellular,11,aug,545,2,yes
20227,33,management,single,tertiary,no,1120,no,no,cellular,11,aug,1070,2,yes
20228,57,housemaid,married,primary,no,2785,no,no,cellular,11,aug,610,4,yes
20236,33,management,single,tertiary,no,0,no,no,cellular,11,aug,699,7,yes
20245,35,management,married,tertiary,no,43,no,no,cellular,11,aug,917,4,yes
20268,39,management,married,secondary,no,11835,yes,no,cellular,11,aug,744,2,yes
20271,53,management,married,tertiary,no,0,no,no,cellular,11,aug,608,2,yes
20288,39,management,married,secondary,no,215,no,no,cellular,11,aug,1141,4,yes
20291,41,management,married,secondary,no,456,yes,no,cellular,11,aug,734,4,yes
20296,32,management,single,secondary,no,2018,no,no,cellular,11,aug,1238,1,yes
20316,31,management,married,secondary,no,0,no,no,cellular,11,aug,720,1,yes
20331,37,technician,single,secondary,no,4,no,no,cellular,11,aug,933,1,yes
20360,51,blue-collar,married,primary,no,541,no,no,cellular,11,aug,663,3,yes
20368,41,management,married,tertiary,no,0,no,no,cellular,11,aug,1242,5,yes
20372,35,technician,single,secondary,no,354,no,no,cellular,11,aug,444,3,yes
20374,48,blue-collar,married,primary,no,719,no,yes,cellular,11,aug,418,5,yes
20386,34,management,married,tertiary,no,828,no,yes,cellular,11,aug,1080,3,yes
20400,47,blue-collar,married,secondary,no,2787,no,no,cellular,11,aug,479,1,yes
20407,46,unemployed,married,secondary,no,2551,no,no,cellular,12,aug,645,2,yes
20410,60,retired,married,secondary,no,2722,no,no,cellular,12,aug,506,2,yes
20434,39,management,married,secondary,no,1880,no,no,cellular,12,aug,768,2,yes
20438,57,blue-collar,married,primary,no,2112,no,no,cellular,12,aug,1134,2,yes
20454,32,management,divorced,tertiary,no,874,no,no,cellular,12,aug,1282,6,yes
20483,32,management,single,tertiary,no,2667,yes,no,cellular,12,aug,971,2,yes
20498,36,unemployed,divorced,secondary,no,871,no,no,cellular,12,aug,396,3,yes
20509,30,management,married,secondary,no,850,no,no,cellular,12,aug,507,2,yes
20523,33,technician,married,secondary,no,3243,no,no,cellular,12,aug,439,4,yes
20558,57,management,divorced,tertiary,no,8897,yes,no,cellular,12,aug,865,2,yes
20559,38,technician,single,tertiary,no,508,yes,yes,cellular,12,aug,1103,2,yes
20567,46,self-employed,married,secondary,no,548,no,no,cellular,12,aug,1181,4,yes
20569,30,management,married,tertiary,no,1567,yes,no,cellular,12,aug,1133,4,yes
20575,49,management,married,tertiary,no,4751,no,no,cellular,12,aug,884,4,yes
20583,38,technician,married,secondary,no,1478,no,no,cellular,12,aug,926,4,yes
20591,36,technician,single,secondary,yes,12,no,no,cellular,12,aug,587,2,yes
20603,49,blue-collar,married,primary,no,128,no,no,cellular,12,aug,696,2,yes
20617,49,blue-collar,married,secondary,no,553,no,no,cellular,12,aug,645,8,yes
20619,40,unemployed,divorced,secondary,no,1694,no,no,cellular,12,aug,473,6,yes
20621,49,blue-collar,married,primary,no,408,no,no,cellular,12,aug,559,4,yes
20622,38,management,married,tertiary,no,1223,no,no,cellular,12,aug,1092,5,yes
20624,31,management,single,tertiary,no,1858,no,no,cellular,12,aug,453,3,yes
20627,31,technician,single,tertiary,no,208,no,no,cellular,12,aug,1344,7,yes
20631,34,management,married,tertiary,no,520,yes,no,cellular,12,aug,1307,4,yes
20633,39,management,married,tertiary,no,271,yes,no,cellular,12,aug,1344,1,yes
20638,33,management,single,tertiary,no,87,no,no,cellular,12,aug,978,1,yes
20643,40,management,married,secondary,no,4396,no,no,cellular,12,aug,432,3,yes
20645,47,technician,married,secondary,no,568,yes,no,cellular,12,aug,1613,1,yes
20666,37,technician,single,secondary,no,3665,no,no,cellular,12,aug,664,3,yes
20669,44,technician,single,secondary,no,244,yes,no,cellular,12,aug,1735,4,yes
20679,55,management,married,tertiary,no,568,no,no,cellular,12,aug,940,10,yes
20681,30,management,single,tertiary,no,4210,no,no,cellular,12,aug,796,4,yes
20725,40,technician,married,secondary,no,42,no,no,cellular,13,aug,1842,2,yes
20731,54,retired,married,primary,no,309,no,no,cellular,13,aug,969,2,yes
20734,35,technician,married,secondary,no,-180,no,yes,cellular,13,aug,823,2,yes
20736,31,entrepreneur,single,tertiary,yes,-405,yes,yes,cellular,13,aug,703,2,yes
20737,32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,yes
20745,36,management,divorced,tertiary,no,59,no,no,cellular,13,aug,526,2,yes
20746,58,retired,married,primary,no,4158,no,no,cellular,13,aug,455,2,yes
20769,37,management,married,tertiary,no,4436,no,no,cellular,13,aug,846,5,yes
20805,37,technician,single,secondary,no,-242,yes,no,cellular,13,aug,1149,6,yes
20811,50,self-employed,married,secondary,no,10052,no,no,cellular,13,aug,665,2,yes
20814,58,retired,married,tertiary,no,0,no,no,cellular,13,aug,641,4,yes
20823,52,technician,divorced,secondary,no,152,no,no,cellular,13,aug,404,6,yes
20824,31,management,married,tertiary,no,156,no,no,cellular,13,aug,657,7,yes
20833,40,management,married,tertiary,no,66,no,no,cellular,13,aug,737,4,yes
20842,34,management,single,tertiary,no,9827,yes,no,cellular,13,aug,871,4,yes
20849,53,services,married,secondary,no,6170,no,no,cellular,13,aug,838,4,yes
