,age,job,marital,education,default,balance,housing,loan,month,duration,campaign,cluster
428,52,retired,married,tertiary,no,2269,no,no,jun,1210,1,0
429,50,technician,divorced,secondary,no,396,no,no,jun,716,2,1
430,54,services,married,unknown,no,386,no,yes,jun,838,1,1
431,56,management,married,tertiary,no,0,no,yes,jun,422,1,0
432,57,management,married,tertiary,no,9103,no,yes,jun,1098,2,0
433,42,technician,married,tertiary,no,-215,no,no,jun,1573,5,0
434,29,blue-collar,single,secondary,no,908,yes,no,jun,1663,1,1
435,47,technician,married,tertiary,no,1694,no,yes,jun,560,3,0
436,57,management,married,tertiary,no,-92,yes,yes,jun,1617,1,0
437,40,blue-collar,married,secondary,no,188,yes,yes,jun,570,2,1
438,38,blue-collar,single,tertiary,no,2885,yes,no,jun,1422,10,0
439,46,services,divorced,secondary,no,0,no,no,jun,1023,3,1
440,49,services,divorced,secondary,no,947,no,no,jun,808,2,1
441,43,blue-collar,single,secondary,no,740,yes,no,jun,585,2,1
442,45,management,married,tertiary,no,655,no,no,jun,693,3,0
443,24,management,married,secondary,no,867,yes,no,jun,546,10,1
444,53,admin,married,secondary,no,3765,no,no,jun,1094,3,1
445,40,blue-collar,married,secondary,no,1009,yes,yes,jun,1036,5,1
446,38,services,divorced,unknown,no,6360,no,no,jun,1409,2,1
447,36,unemployed,married,tertiary,no,4145,no,no,jun,988,4,0
448,27,blue-collar,single,secondary,yes,-27,no,no,jun,498,2,1
449,26,admin,single,primary,no,-122,yes,no,jun,670,3,1
450,43,management,married,tertiary,no,149,yes,no,jun,662,2,0
451,25,blue-collar,single,primary,no,52,yes,no,jun,528,2,1
452,27,blue-collar,married,tertiary,no,335,yes,no,jun,519,3,0
453,30,technician,married,tertiary,no,526,yes,yes,jun,677,3,0
454,28,admin,single,secondary,no,-7,no,yes,jun,3183,2,1
455,27,blue-collar,married,primary,no,-413,no,yes,jun,422,6,1
456,32,admin,divorced,secondary,no,-241,no,yes,jun,856,2,1
457,41,blue-collar,single,secondary,no,75,yes,no,jul,479,9,1
458,37,technician,single,tertiary,no,0,no,no,jul,1135,2,0
459,27,technician,single,secondary,no,158,no,no,jul,650,2,1
460,29,services,single,secondary,no,84,no,yes,jul,587,3,1
461,33,services,married,secondary,no,114,no,yes,jul,676,1,1
462,36,technician,married,primary,no,0,no,no,jul,584,1,1
463,29,services,single,primary,no,339,no,no,jul,1576,3,1
464,44,blue-collar,married,secondary,no,1697,yes,no,jul,150,2,1
465,28,blue-collar,single,secondary,no,-127,yes,no,jul,1044,3,1
466,49,blue-collar,married,primary,no,-157,yes,no,jul,491,3,1
467,55,blue-collar,married,secondary,no,49,yes,no,jul,494,4,1
468,51,technician,married,secondary,no,216,no,no,jul,615,2,1
469,39,technician,single,secondary,no,506,yes,no,jul,718,2,1
470,42,blue-collar,divorced,primary,no,213,yes,no,jul,434,3,1
471,33,services,single,secondary,no,170,no,no,jul,782,1,1
472,59,management,married,tertiary,no,553,yes,no,jul,1272,3,0
473,36,entrepreneur,divorced,tertiary,no,776,no,yes,jul,722,3,0
474,45,technician,married,secondary,no,879,no,no,jul,621,2,1
475,37,self-employed,married,secondary,no,1633,no,no,jul,629,2,1
476,46,unemployed,married,secondary,no,926,no,no,jul,385,5,1
477,32,self-employed,single,tertiary,no,2559,no,no,jul,889,1,0
478,32,admin,married,secondary,no,1604,no,yes,jul,625,1,1
479,28,technician,single,secondary,no,909,no,yes,jul,532,1,1
480,45,admin,divorced,secondary,no,-176,no,yes,jul,574,1,1
481,41,blue-collar,single,secondary,yes,1085,yes,yes,jul,599,1,1
482,59,blue-collar,divorced,primary,no,1265,no,yes,jul,849,1,1
483,47,technician,single,secondary,no,-239,yes,yes,jul,973,3,1
484,32,admin,single,secondary,no,212,no,no,jul,830,5,1
485,31,blue-collar,single,secondary,no,726,no,no,jul,719,2,1
486,31,management,single,tertiary,no,296,no,yes,jul,509,4,0
487,33,entrepreneur,married,secondary,no,-627,yes,yes,jul,740,1,1
488,52,entrepreneur,married,tertiary,yes,-468,no,no,jul,534,1,0
489,27,technician,single,secondary,yes,0,no,yes,jul,732,1,1
490,26,self-employed,single,secondary,no,551,no,no,jul,531,1,1
491,25,technician,single,secondary,no,0,no,yes,jul,634,1,1
492,25,blue-collar,married,secondary,no,101,no,yes,jul,460,3,1
493,28,admin,single,unknown,no,2736,no,no,jul,705,1,1
494,25,technician,single,secondary,no,102,no,yes,jul,574,2,1
495,28,services,married,secondary,no,510,yes,yes,jul,1767,2,1
496,28,blue-collar,single,secondary,no,517,no,yes,jul,681,1,1
497,33,entrepreneur,divorced,tertiary,no,37,no,yes,jul,1082,1,0
498,45,management,divorced,tertiary,no,854,no,yes,jul,730,1,0
499,36,services,married,secondary,no,30,no,yes,jul,716,5,1
500,26,blue-collar,single,secondary,yes,81,no,yes,jul,803,2,1
501,31,blue-collar,married,secondary,no,152,yes,yes,jul,831,1,1
502,38,technician,married,secondary,no,0,no,no,jul,635,1,1
503,56,blue-collar,single,secondary,no,663,no,yes,jul,819,3,1
504,26,admin,single,secondary,no,102,no,yes,jul,658,2,1
505,26,technician,married,secondary,no,370,no,yes,jul,1061,4,1
506,25,blue-collar,single,secondary,no,189,no,yes,jul,687,2,1
507,26,unemployed,single,secondary,no,111,no,no,jul,537,1,1
508,40,blue-collar,married,primary,no,665,yes,no,jul,781,1,1
509,52,blue-collar,married,unknown,no,0,yes,no,jul,1486,1,1
510,37,admin,married,primary,no,214,yes,no,jul,645,1,1
511,43,blue-collar,single,primary,no,0,no,no,jul,1242,1,1
512,58,entrepreneur,married,tertiary,no,776,yes,no,jul,990,1,0
513,41,services,divorced,tertiary,no,1583,yes,no,jul,662,1,0
514,49,blue-collar,married,secondary,no,0,no,yes,jul,625,1,1
515,43,technician,married,secondary,no,-754,yes,yes,jul,727,3,1
516,29,admin,divorced,tertiary,yes,0,no,yes,jul,426,3,0
517,35,management,divorced,tertiary,no,6997,yes,no,jul,1121,1,0
518,39,services,divorced,secondary,no,687,yes,no,jul,869,1,1
519,38,management,married,tertiary,yes,327,yes,yes,jul,556,5,0
520,26,technician,married,secondary,no,-119,no,yes,jul,359,5,1
521,32,management,married,tertiary,no,794,yes,yes,jul,1014,1,0
522,33,blue-collar,married,primary,no,-191,yes,yes,jul,1290,4,1
523,31,management,single,tertiary,no,409,no,yes,jul,564,5,0
524,49,blue-collar,married,primary,no,3,no,yes,jul,1439,6,1
525,27,unemployed,single,primary,no,9,no,yes,jul,919,2,1
526,30,blue-collar,single,secondary,no,155,yes,yes,jul,1426,3,1
527,35,blue-collar,married,secondary,no,1330,no,no,jul,901,1,1
528,26,blue-collar,single,secondary,no,-29,yes,no,jul,998,4,1
529,30,blue-collar,married,secondary,no,167,yes,no,jul,255,1,1
530,45,entrepreneur,married,unknown,no,3133,yes,yes,jul,804,1,1
531,34,admin,married,secondary,no,-33,yes,yes,jul,961,1,1
532,47,blue-collar,married,secondary,no,182,yes,no,jul,39,1,1
533,59,admin,married,secondary,no,0,yes,no,jul,982,1,1
534,41,blue-collar,married,secondary,no,5517,yes,no,jul,584,1,1
535,28,admin,single,secondary,no,-170,no,yes,jul,720,2,1
536,29,blue-collar,married,secondary,no,8,yes,yes,jul,627,1,1
537,25,blue-collar,single,secondary,no,1243,no,yes,jul,1341,7,1
538,30,blue-collar,single,secondary,no,1598,yes,no,jul,634,1,1
539,30,services,married,secondary,no,5,no,yes,jul,829,5,1
540,47,services,married,secondary,no,367,yes,no,jul,476,4,1
541,57,admin,divorced,secondary,no,658,no,no,jul,724,1,1
542,38,management,married,tertiary,no,1722,yes,no,jul,500,1,0
543,54,technician,married,secondary,no,-315,no,yes,jul,2029,1,1
544,25,blue-collar,single,primary,no,2483,no,no,jul,1499,3,1
545,30,blue-collar,married,secondary,no,0,yes,yes,jul,1399,1,1
546,26,management,single,tertiary,no,45,no,no,jul,1187,3,0
547,31,student,married,primary,no,46,yes,no,jul,487,1,1
548,29,blue-collar,single,secondary,no,482,no,yes,jul,1097,3,1
549,32,self-employed,married,secondary,no,514,yes,no,jul,812,1,1
550,49,blue-collar,married,secondary,no,3728,yes,no,jul,1060,2,1
551,35,services,single,primary,no,167,no,yes,jul,614,2,1
552,60,retired,divorced,secondary,no,1099,no,no,jul,764,2,1
553,60,management,married,tertiary,no,2222,yes,no,jul,1120,2,0
554,29,management,single,tertiary,no,983,yes,no,jul,963,2,0
555,55,management,divorced,secondary,no,204,yes,no,jul,1973,2,1
556,33,management,single,unknown,no,1534,yes,no,jul,1041,2,0
557,44,admin,married,secondary,no,1074,yes,no,jul,911,2,1
558,47,technician,married,secondary,no,3466,yes,no,jul,853,2,1
559,35,admin,married,secondary,no,-203,yes,no,jul,1649,2,1
560,53,admin,divorced,unknown,no,257,no,no,jul,1310,2,1
561,35,entrepreneur,married,secondary,no,2436,no,yes,jul,1397,3,1
562,43,management,married,tertiary,no,0,no,no,jul,1153,3,0
563,38,technician,married,secondary,no,976,yes,no,jul,766,3,1
564,34,entrepreneur,married,tertiary,no,146,yes,no,jul,788,2,0
565,50,technician,married,secondary,no,156,no,yes,jul,1130,3,1
566,43,admin,married,tertiary,no,189,yes,no,jul,1062,4,0
567,44,admin,divorced,secondary,no,163,yes,no,jul,1669,2,1
568,51,services,divorced,secondary,no,242,no,yes,jul,1336,4,1
569,31,technician,married,secondary,no,1173,yes,no,jul,444,3,1
570,39,technician,married,tertiary,no,0,yes,no,jul,894,7,0
571,59,management,married,tertiary,no,296,no,yes,jul,805,3,0
572,45,admin,married,secondary,no,0,no,yes,jul,533,3,1
573,25,services,single,secondary,no,333,no,yes,jul,1056,2,1
574,58,management,married,tertiary,no,3864,yes,no,jul,815,4,0
575,30,entrepreneur,married,primary,no,2686,yes,no,jul,808,3,1
576,34,blue-collar,single,primary,no,-109,yes,no,jul,860,4,1
577,45,blue-collar,divorced,primary,no,-207,no,no,jul,878,2,1
578,51,services,divorced,secondary,no,65,no,yes,jul,881,1,1
579,60,retired,married,secondary,no,597,no,no,jul,981,1,1
580,32,management,divorced,tertiary,no,222,no,yes,jul,820,4,0
581,51,entrepreneur,married,secondary,no,-799,no,yes,jul,1001,3,1
582,37,management,divorced,tertiary,no,1775,no,no,jul,514,5,0
583,30,blue-collar,single,primary,no,0,no,no,jul,716,3,1
584,41,blue-collar,divorced,primary,no,664,no,yes,jul,955,5,1
585,36,services,divorced,secondary,yes,0,no,yes,jul,687,7,1
586,46,entrepreneur,divorced,secondary,no,-563,no,yes,jul,769,4,1
587,29,student,single,tertiary,no,5,no,no,jul,889,5,0
588,25,blue-collar,married,secondary,no,0,no,yes,jul,1424,4,1
589,39,management,married,tertiary,no,285,yes,no,jul,838,3,0
590,27,entrepreneur,married,tertiary,no,139,no,no,jul,448,5,0
591,35,blue-collar,single,secondary,no,885,yes,no,jul,632,6,1
592,28,management,single,tertiary,no,0,yes,no,jul,767,5,0
593,34,blue-collar,single,secondary,no,855,yes,no,jul,578,1,1
594,29,blue-collar,single,unknown,no,694,yes,yes,jul,1806,4,1
595,27,management,single,tertiary,no,151,yes,no,jul,496,1,0
596,26,technician,single,secondary,no,354,no,no,jul,586,1,1
597,36,management,married,tertiary,no,673,yes,no,jul,689,1,0
598,44,blue-collar,married,primary,no,1265,yes,no,jul,555,1,1
599,39,blue-collar,married,tertiary,no,597,no,no,jul,686,6,0
600,30,technician,married,secondary,no,-393,yes,yes,jul,435,1,1
601,36,blue-collar,married,secondary,no,324,yes,yes,jul,830,1,1
602,31,unemployed,divorced,tertiary,no,256,yes,no,jul,873,2,0
603,56,blue-collar,married,primary,no,0,yes,no,jul,1222,1,1
604,29,blue-collar,married,secondary,no,2870,yes,no,jul,988,1,1
605,27,admin,divorced,secondary,no,451,yes,no,jul,652,1,1
606,43,blue-collar,married,secondary,no,184,no,yes,jul,1019,11,1
607,32,blue-collar,married,secondary,no,1905,yes,no,jul,709,2,1
608,30,admin,single,secondary,no,-36,no,no,jul,561,9,1
609,50,management,married,secondary,no,1165,no,no,jul,455,1,1
610,40,blue-collar,married,secondary,no,-839,yes,yes,jul,1018,2,1
611,42,services,married,secondary,no,3465,yes,yes,jul,1039,2,1
612,40,technician,married,secondary,no,-357,yes,no,jul,700,4,1
613,27,student,married,secondary,no,119,yes,no,jul,781,2,1
614,35,management,married,tertiary,no,36,no,yes,jul,1656,5,0
615,26,blue-collar,married,secondary,no,-11,yes,yes,jul,1150,3,1
616,35,housemaid,married,primary,no,113,yes,no,jul,923,2,1
617,52,blue-collar,married,secondary,no,1405,no,yes,jul,753,2,1
618,32,blue-collar,single,secondary,no,118,yes,no,jul,1275,1,1
619,39,technician,married,secondary,no,251,yes,no,jul,342,2,1
620,31,blue-collar,divorced,secondary,no,-277,yes,no,jul,1008,2,1
621,26,services,single,secondary,no,-189,no,yes,jul,538,2,1
622,42,management,married,tertiary,no,4,yes,no,jul,795,1,0
623,32,technician,married,secondary,no,348,yes,no,jul,926,1,1
624,27,services,single,secondary,no,1820,yes,no,jul,1027,1,1
625,33,self-employed,divorced,secondary,no,1904,yes,no,jul,1584,2,1
626,51,blue-collar,married,primary,no,201,yes,no,jul,582,2,1
627,33,admin,married,secondary,no,0,yes,no,jul,1448,7,1
628,30,technician,single,tertiary,no,178,no,no,jul,656,3,0
629,29,management,married,tertiary,no,51,yes,no,jul,1319,5,0
630,52,housemaid,married,primary,no,3798,yes,no,jul,1208,1,1
631,42,blue-collar,divorced,primary,no,301,yes,no,jul,1175,2,1
632,31,management,divorced,tertiary,no,294,yes,no,jul,536,5,0
633,27,services,married,secondary,no,0,yes,no,jul,991,5,1
634,44,blue-collar,single,secondary,no,292,no,yes,jul,1153,4,1
635,55,housemaid,married,primary,no,0,yes,no,jul,1303,2,1
636,40,entrepreneur,divorced,secondary,no,2998,yes,no,jul,623,3,1
637,54,technician,single,tertiary,no,467,yes,no,jul,674,3,0
638,46,housemaid,divorced,primary,no,2084,yes,no,jul,1081,2,1
639,30,management,single,tertiary,no,502,no,yes,jul,572,1,0
640,30,services,divorced,primary,no,459,yes,no,jul,494,1,1
641,32,services,divorced,secondary,no,454,yes,no,jul,978,1,1
642,56,technician,divorced,secondary,no,179,no,no,jul,536,1,1
643,33,blue-collar,married,secondary,no,661,yes,no,jul,968,1,1
644,31,technician,married,secondary,yes,-367,yes,no,jul,474,2,1
645,30,services,single,secondary,yes,-366,yes,no,jul,516,1,1
646,33,blue-collar,married,secondary,no,89,yes,no,jul,278,2,1
647,30,blue-collar,single,secondary,no,183,yes,no,jul,610,1,1
648,32,self-employed,married,primary,no,102,yes,no,jul,560,1,1
649,41,blue-collar,divorced,primary,no,138,yes,no,jul,640,3,1
650,31,admin,single,secondary,no,622,no,no,jul,420,1,1
651,30,admin,divorced,secondary,no,10,yes,no,jul,658,2,1
652,51,housemaid,divorced,secondary,no,9228,no,no,jul,655,4,1
653,34,admin,divorced,secondary,no,-251,no,no,jul,641,1,1
654,28,admin,single,unknown,no,24,yes,no,jul,415,2,1
655,43,entrepreneur,married,secondary,no,104,yes,no,jul,635,3,1
656,33,technician,single,tertiary,no,1393,yes,no,jul,1127,3,0
657,36,management,married,tertiary,no,625,yes,no,jul,1360,9,0
658,28,blue-collar,married,secondary,no,173,no,no,jul,588,7,1
659,32,admin,divorced,secondary,no,-46,no,yes,jul,1373,4,1
660,31,blue-collar,divorced,secondary,no,0,yes,yes,jul,913,4,1
661,35,entrepreneur,single,tertiary,no,145,yes,no,jul,799,2,0
662,31,management,married,tertiary,no,325,yes,no,jul,1139,2,0
663,32,management,single,tertiary,no,2551,yes,no,jul,638,3,0
664,25,services,single,secondary,no,2311,no,yes,jul,1105,2,1
665,56,retired,divorced,tertiary,no,158,no,yes,jul,854,1,0
666,31,blue-collar,married,primary,no,-537,yes,yes,jul,1039,7,1
667,29,blue-collar,single,secondary,no,-20,no,yes,jul,574,1,1
668,47,technician,married,secondary,no,1981,yes,no,jul,919,2,1
669,32,services,married,primary,no,228,yes,no,jul,1017,6,1
670,39,management,married,tertiary,no,1423,yes,no,jul,733,3,0
671,51,management,married,tertiary,no,2455,yes,no,jul,553,1,0
672,40,blue-collar,married,primary,no,0,yes,no,jul,1080,4,1
673,54,technician,divorced,secondary,no,859,no,yes,jul,710,1,1
674,58,retired,married,unknown,no,9004,no,no,jul,891,4,1
675,42,unemployed,married,unknown,no,970,yes,no,jul,691,10,1
676,56,services,married,primary,no,486,no,yes,jul,1877,1,1
677,25,student,married,tertiary,no,10,yes,no,jul,857,4,0
678,55,housemaid,married,secondary,no,127,yes,no,jul,1130,8,1
679,26,blue-collar,single,primary,no,409,yes,no,jul,577,2,1
680,40,admin,single,secondary,no,664,no,no,jul,1342,2,1
681,26,technician,single,secondary,no,223,no,yes,jul,1002,3,1
682,35,management,single,tertiary,no,-324,no,yes,jul,985,11,0
683,34,services,single,secondary,no,-30,no,no,jul,1360,3,1
684,41,management,single,tertiary,no,1253,no,no,jul,1134,5,0
685,44,management,married,primary,no,4758,yes,no,jul,712,6,1
686,47,admin,married,secondary,no,290,yes,no,jul,1352,2,1
687,33,management,single,tertiary,no,30,yes,no,jul,1077,1,0
688,36,management,divorced,tertiary,no,81,no,yes,jul,560,1,0
689,38,technician,married,secondary,no,0,yes,no,jul,1545,1,1
690,35,technician,married,tertiary,no,328,yes,no,jul,654,2,0
691,41,technician,single,tertiary,no,145,no,no,jul,1833,2,0
692,41,management,divorced,unknown,no,465,yes,no,jul,1508,1,1
693,28,blue-collar,married,secondary,no,751,yes,no,jul,598,5,1
694,35,admin,single,secondary,no,507,yes,no,jul,560,2,1
695,26,services,married,secondary,no,-379,yes,yes,jul,1237,7,1
696,39,blue-collar,single,secondary,no,0,no,no,jul,864,4,1
697,25,admin,married,unknown,no,349,yes,no,jul,1037,8,1
698,37,admin,married,secondary,no,1110,yes,no,jul,802,11,1
699,27,services,married,secondary,no,0,yes,no,jul,1608,13,1
700,25,management,married,secondary,no,2228,yes,no,jul,754,1,1
701,46,management,divorced,tertiary,no,2166,yes,no,jul,870,1,0
702,42,management,divorced,secondary,no,283,yes,no,jul,761,1,1
703,25,blue-collar,single,secondary,no,-247,yes,no,jul,633,1,1
704,28,technician,single,tertiary,no,-123,no,yes,jul,690,1,0
705,33,services,divorced,secondary,no,44,no,yes,jul,529,1,1
706,32,management,single,secondary,no,131,yes,yes,jul,1152,2,1
707,32,blue-collar,married,secondary,no,476,yes,no,jul,956,9,1
708,47,technician,single,secondary,no,1101,yes,no,jul,957,3,1
709,50,entrepreneur,married,tertiary,no,-168,yes,no,jul,1327,2,0
710,32,blue-collar,single,secondary,no,799,no,yes,jul,2078,6,1
711,28,student,single,secondary,no,153,no,no,jul,1124,2,1
712,27,technician,married,secondary,no,-392,yes,no,jul,228,2,1
713,45,admin,married,secondary,no,524,yes,no,jul,808,1,1
714,51,admin,single,secondary,no,895,no,no,jul,638,2,1
715,36,admin,married,secondary,no,212,yes,yes,jul,1201,6,1
716,51,self-employed,married,secondary,no,95,yes,no,jul,1309,4,1
717,33,services,single,tertiary,no,395,yes,no,jul,1359,6,0
718,59,technician,married,secondary,no,135,yes,yes,jul,416,4,1
719,38,entrepreneur,married,tertiary,no,0,no,no,jul,532,2,0
720,40,services,married,secondary,no,471,yes,no,jul,430,4,1
721,51,blue-collar,married,primary,no,603,yes,no,jul,853,2,1
722,41,entrepreneur,single,secondary,no,663,no,no,jul,1204,1,1
723,55,retired,divorced,secondary,no,-268,no,yes,jul,1417,1,1
724,31,management,married,tertiary,no,1224,yes,yes,jul,1441,2,0
725,28,admin,single,secondary,no,2,yes,no,jul,454,1,1
726,41,blue-collar,married,secondary,yes,720,no,yes,jul,651,1,1
727,33,management,divorced,tertiary,no,990,yes,no,jul,1491,2,0
728,25,student,single,secondary,no,1747,yes,no,jul,903,1,1
729,45,admin,divorced,secondary,no,59,yes,no,jul,873,8,1
730,25,technician,single,secondary,no,4718,no,no,jul,709,1,1
731,31,blue-collar,married,primary,no,33,yes,no,jul,901,2,1
732,28,services,single,secondary,no,340,yes,no,jul,821,2,1
733,49,technician,divorced,secondary,no,305,no,no,jul,367,2,1
734,25,services,married,secondary,no,0,yes,no,jul,458,9,1
735,28,unemployed,single,tertiary,no,497,yes,no,jul,1602,6,0
736,54,retired,married,secondary,no,1371,no,no,jul,1492,2,1
737,28,technician,single,tertiary,no,1628,yes,no,jul,1422,2,0
738,27,technician,single,tertiary,no,372,yes,yes,jul,728,2,0
739,49,blue-collar,single,primary,no,566,yes,no,jul,979,2,1
740,53,blue-collar,married,primary,no,343,yes,no,jul,616,5,1
741,26,technician,single,secondary,no,941,no,yes,jul,784,1,1
742,37,services,married,secondary,no,775,no,yes,jul,1000,1,1
743,34,blue-collar,single,secondary,no,1759,no,yes,jul,695,1,1
744,33,admin,married,secondary,no,82,yes,no,jul,735,1,1
745,35,management,divorced,tertiary,no,1723,yes,no,jul,862,1,0
746,51,retired,married,primary,no,1495,no,no,jul,1946,4,1
747,39,housemaid,married,secondary,no,1444,no,no,jul,362,8,1
748,35,technician,single,tertiary,no,470,yes,no,jul,743,13,0
749,51,unemployed,married,primary,no,1162,yes,no,jul,2015,1,1
750,30,management,single,tertiary,no,2,yes,yes,jul,1031,8,0
751,42,blue-collar,single,primary,no,1628,yes,no,jul,590,8,1
752,54,management,married,secondary,no,1134,yes,no,jul,1330,3,1
753,51,blue-collar,married,primary,no,0,yes,yes,jul,946,3,1
754,30,management,married,tertiary,no,1221,yes,no,jul,279,4,0
755,37,blue-collar,single,secondary,no,5024,no,yes,jul,661,4,1
756,39,technician,married,secondary,no,10685,yes,no,jul,1369,9,1
757,35,technician,married,tertiary,no,1629,no,no,jul,653,4,0
758,48,management,married,secondary,no,268,yes,no,jul,458,7,1
759,45,admin,divorced,tertiary,no,1506,no,no,jul,365,4,0
760,31,management,married,tertiary,no,0,yes,yes,jul,664,8,0
761,35,self-employed,married,secondary,no,5613,yes,no,jul,699,3,1
762,48,housemaid,married,secondary,no,513,no,yes,jul,939,3,1
763,43,services,married,secondary,no,-236,yes,no,jul,745,7,1
764,43,blue-collar,single,primary,no,-399,no,yes,jul,662,3,1
765,49,services,divorced,secondary,no,0,no,no,jul,412,2,1
766,53,housemaid,married,primary,no,362,no,no,jul,1169,2,1
767,48,entrepreneur,married,secondary,no,0,no,yes,jul,431,2,1
768,27,technician,single,secondary,no,3933,no,no,jul,837,3,1
769,55,technician,married,secondary,no,3899,yes,no,jul,596,4,1
770,40,services,married,secondary,no,473,yes,no,jul,383,3,1
771,40,self-employed,single,tertiary,no,1616,no,no,jul,1009,7,0
772,38,blue-collar,divorced,secondary,no,1817,yes,no,jul,1096,4,1
773,54,retired,single,secondary,no,129,no,yes,jul,867,2,1
774,54,technician,married,secondary,no,1938,no,yes,jul,551,3,1
775,50,admin,single,secondary,no,133,no,no,jul,890,4,1
776,48,management,divorced,tertiary,no,2263,no,no,jul,874,2,0
777,41,services,married,unknown,no,1538,no,no,jul,710,2,1
778,51,blue-collar,divorced,primary,no,5,no,no,jul,600,2,1
779,42,technician,single,tertiary,no,2625,no,no,jul,2516,2,0
780,33,blue-collar,married,secondary,no,0,no,no,jul,454,6,1
781,58,retired,divorced,secondary,no,1080,yes,no,jul,1058,2,1
782,47,unemployed,married,secondary,no,312,no,no,jul,884,1,1
783,58,admin,married,secondary,no,145,yes,no,jul,616,13,1
784,60,self-employed,married,primary,no,362,no,yes,jul,816,6,1
785,41,blue-collar,married,secondary,no,-190,no,yes,jul,808,3,1
786,46,admin,married,secondary,no,659,yes,no,jul,1127,11,1
787,50,admin,married,secondary,no,2678,no,no,jul,1011,6,1
788,47,management,single,tertiary,no,255,no,yes,jul,802,4,0
789,44,blue-collar,married,secondary,no,0,no,no,jul,684,2,1
790,46,self-employed,divorced,tertiary,no,21,no,no,jul,566,2,0
791,36,services,married,secondary,no,0,no,no,jul,843,2,1
792,39,blue-collar,married,unknown,no,1181,yes,no,jul,650,2,1
793,58,management,divorced,secondary,no,3161,no,no,jul,542,2,1
794,44,unemployed,single,primary,yes,-4,no,yes,jul,788,2,1
795,49,entrepreneur,divorced,unknown,yes,-701,yes,no,jul,988,2,1
796,55,management,married,tertiary,no,-375,no,no,jul,814,2,0
797,52,unemployed,married,primary,no,959,no,no,jul,694,2,1
798,37,services,married,secondary,no,4151,yes,yes,jul,543,4,1
799,60,retired,divorced,secondary,no,1091,no,no,jul,441,5,1
800,41,services,married,unknown,yes,-1,no,yes,jul,1171,4,1
801,36,management,married,tertiary,no,96,no,no,jul,729,4,0
802,41,blue-collar,divorced,primary,no,0,no,no,jul,509,2,1
803,50,entrepreneur,married,tertiary,no,230,no,no,jul,1089,4,0
804,44,housemaid,married,primary,no,-156,no,yes,jul,1211,2,1
805,54,technician,married,secondary,no,114,no,no,jul,458,3,1
806,35,management,married,tertiary,no,-468,yes,no,jul,540,8,0
807,59,retired,divorced,secondary,no,679,no,no,jul,761,4,1
808,42,entrepreneur,married,unknown,no,206,yes,no,jul,695,2,1
809,27,management,single,tertiary,no,1,yes,no,jul,764,4,0
810,27,technician,single,secondary,no,489,yes,no,jul,356,4,1
811,36,housemaid,married,primary,no,78,yes,no,jul,2692,9,1
812,59,housemaid,divorced,primary,no,2518,no,no,jul,675,3,1
813,43,admin,married,secondary,no,378,no,no,jul,782,8,1
814,39,technician,single,secondary,no,391,no,yes,jul,962,4,1
815,33,unemployed,married,secondary,no,-144,no,no,jul,481,3,1
816,36,self-employed,single,tertiary,no,1240,no,no,jul,812,3,0
817,35,blue-collar,divorced,primary,no,1792,yes,no,jul,630,6,1
818,55,technician,married,secondary,no,264,yes,yes,jul,1150,5,1
819,51,unemployed,divorced,tertiary,no,0,no,no,jul,574,2,0
820,48,entrepreneur,married,tertiary,yes,-392,no,no,jul,725,4,0
821,55,housemaid,divorced,primary,no,77,no,no,jul,463,6,1
822,30,services,married,secondary,no,48,yes,no,jul,662,13,1
823,53,blue-collar,married,primary,no,252,no,no,jul,727,4,1
824,40,blue-collar,married,secondary,no,1954,no,no,jul,1107,2,1
825,44,technician,married,primary,no,755,no,yes,jul,829,4,1
826,51,self-employed,married,tertiary,no,5350,yes,yes,jul,612,4,0
827,58,management,married,secondary,no,-382,no,no,jul,644,12,1
828,40,housemaid,single,tertiary,no,7441,no,no,jul,1461,6,0
829,35,management,married,tertiary,no,1731,no,no,jul,361,4,0
830,49,management,divorced,tertiary,no,755,no,no,jul,1212,4,0
831,40,blue-collar,married,primary,no,57,yes,no,jul,1007,9,1
832,48,admin,married,primary,no,3644,yes,yes,jul,1039,9,1
833,40,admin,married,secondary,no,341,no,no,jul,1142,5,1
834,58,unemployed,married,primary,no,1183,no,no,jul,1721,5,1
835,49,services,married,secondary,no,388,no,no,jul,1032,4,1
836,38,technician,married,secondary,no,1919,no,no,aug,846,1,1
837,51,housemaid,divorced,tertiary,no,1613,no,no,aug,870,1,0
838,36,management,divorced,tertiary,no,0,no,no,aug,1165,1,0
839,55,retired,married,secondary,no,0,no,no,aug,1110,1,1
840,52,management,married,tertiary,no,7192,no,no,aug,1486,1,0
841,43,technician,married,tertiary,no,0,no,no,aug,1488,2,0
842,60,management,divorced,secondary,no,0,no,no,aug,603,3,1
843,57,retired,married,secondary,no,466,no,no,aug,641,2,1
844,41,technician,married,tertiary,no,515,no,no,aug,837,2,0
845,50,technician,married,tertiary,no,2313,no,no,aug,553,1,0
846,53,blue-collar,married,secondary,no,-8,no,no,aug,794,1,1
847,59,retired,married,primary,no,1634,yes,yes,aug,836,1,1
848,59,housemaid,married,primary,no,100,no,no,aug,1134,1,1
849,33,management,married,tertiary,no,679,no,no,aug,1109,2,0
850,52,unknown,married,unknown,no,5361,no,no,aug,607,3,1
851,58,management,divorced,tertiary,no,1257,no,no,aug,1536,1,0
